game,day,round,stage,rater,target,rule_id,archetype,is_target_wolf
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent0,Agent1,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent0,Agent2,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent0,Agent3,1,Chaos Agent,True
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent0,Agent4,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent1,Agent2,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent1,Agent3,1,Chaos Agent,True
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent2,Agent1,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent2,Agent3,1,Chaos Agent,True
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent2,Agent4,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent4,Agent1,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent4,Agent2,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,pre,Agent4,Agent3,1,Chaos Agent,True
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,mid,Agent0,Agent1,8,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,mid,Agent0,Agent2,1,Chaos Agent,False
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,mid,Agent0,Agent3,1,Chaos Agent,True
batch1_suspicionRuleRubric_5A_1W_2Discussion_interAgentRating/game_5agents_2rounds_Chaos Agent_run1.json,1,1,mid,Agent0,Agent4,1,Chaos Agent,False
